Month,Load,life_decrement(In Hrs)
1990-01-01,1748.329349072526,2.38
1990-01-02,1718.684566794576,2.37
1990-01-03,1793.766584234615,2.39
1990-01-04,1876.617303634098,2.1
1990-01-05,1695.182570270013,2.36
1990-01-06,1640.588117372851,2.35
1990-01-07,1467.7621570974954,2.29
1990-01-08,1687.0170737862445,2.36
1990-01-09,1640.2963321316113,2.35
1990-01-10,1700.925607674814,2.36
1990-01-11,1772.3317654485386,2.38
1990-01-12,1582.761414640056,2.33
1991-01-01,1707.8928543093143,2.37
1991-01-02,1787.1347787849168,2.39
1991-01-03,1873.9555403392433,2.1
1991-01-04,1696.1926186277726,2.36
1991-01-05,1644.8722517489184,2.35
1991-01-06,1474.8346437012458,2.29
1991-01-07,1696.3179499603007,2.36
1991-01-08,1651.2070927635255,2.35
1991-01-09,1712.7863633527609,2.37
1991-01-10,1784.4593989640384,2.38
1991-01-11,1594.468237617121,2.33
1991-01-12,1534.161731293486,2.31
1992-01-01,1775.2867354607156,2.38
1992-01-02,1866.2971690841239,2.0
1992-01-03,1692.562200094099,2.36
1992-01-04,1644.9979235926057,2.35
1992-01-05,1478.3425743438975,2.29
1992-01-06,1702.7431992357344,2.36
1992-01-07,1660.0068520318014,2.35
1992-01-08,1723.3552041846972,2.37
1992-01-09,1796.146106477105,2.39
1992-01-10,1606.5937633646945,2.34
1992-01-11,1546.037772408477,2.32
1992-01-12,1369.5603232606657,2.25
1993-01-01,1683.8671308705748,2.36
1993-01-02,1640.3818194064756,2.35
1993-01-03,1477.5604530219264,2.29
1993-01-04,1705.4458035527614,2.36
1993-01-05,1665.7508647712668,2.35
1993-01-06,1731.6159258439775,2.37
1993-01-07,1806.3322396738133,2.39
1993-01-08,1618.063892217768,2.34
1993-01-09,1558.1180809135321,2.32
1993-01-10,1381.5630651489157,2.26
1993-01-11,1598.8063666620708,2.33
1993-01-12,1551.8394220531588,2.32
1994-01-01,1630.641702747788,2.34
1994-01-02,1471.943315582264,2.29
1994-01-03,1703.7340107825744,2.36
1994-01-04,1667.6203736613293,2.35
1994-01-05,1736.6458362289234,2.37
1994-01-06,1814.016887231181,2.39
1994-01-07,1627.8271428077264,2.34
1994-01-08,1569.329427443774,2.32
1994-01-09,1393.555080901419,2.26
1994-01-10,1610.8930342048775,2.34
1994-01-11,1563.334835457816,2.32
1994-01-12,1624.2246805807574,2.34
1995-01-01,1461.1516023178012,2.29
1995-01-02,1697.1022045542718,2.36
1995-01-03,1664.9586095879001,2.35
1995-01-04,1737.6558838087847,2.37
1995-01-05,1818.3010208297192,2.39
1995-01-06,1634.8996286346792,2.34
1995-01-07,1578.630302841322,2.33
1995-01-08,1404.4658407573165,2.27
1995-01-09,1622.7537891073646,2.34
1995-01-10,1575.4624681984276,2.33
1995-01-11,1635.9315027862913,2.34
1995-01-12,1707.5905003659368,2.37
1996-01-01,1685.2541615439568,2.36
1996-01-02,1657.300238649982,2.35
1996-01-03,1734.0254655945985,2.37
1996-01-04,1818.426692996586,2.39
1996-01-05,1638.4075596026232,2.35
1996-01-06,1585.0555524449383,2.33
1996-01-07,1413.2656003559944,2.27
1996-01-08,1633.3226302723394,2.34
1996-01-09,1587.1491760468384,2.33
1996-01-10,1648.0570288688536,2.35
1996-01-11,1719.4665418151715,2.37
1996-01-12,1529.625308522323,2.31
1997-01-01,1725.3303965239024,2.37
1997-01-02,1813.8105889625417,2.39
1997-01-03,1637.625438430849,2.35
1997-01-04,1587.7581569104743,2.33
1997-01-05,1419.0096132424214,2.27
1997-01-06,1641.5833520764809,2.35
1997-01-07,1597.3353093868036,2.33
1997-01-08,1659.5271578630045,2.35
1997-01-09,1731.5468504591636,2.37
1997-01-10,1541.6280505465945,2.32
1997-01-11,1481.1187200072825,2.29
1997-01-12,1305.0981705108502,2.22
1998-01-01,1804.0704714664068,2.39
1998-01-02,1632.0083001523922,2.34
1998-01-03,1586.0463632998856,2.33
1998-01-04,1420.8791212907154,2.27
1998-01-05,1646.6132616181394,2.35
1998-01-06,1605.0199560994781,2.34
1998-01-07,1669.2904076068887,2.35
1998-01-08,1742.7581961428216,2.37
1998-01-09,1553.6200654520485,2.32
1998-01-10,1493.2053867027194,2.3
1998-01-11,1316.593583067708,2.23
1998-01-12,1534.1921059507988,2.31
1999-01-01,1621.21658614272,2.34
1999-01-02,1579.4145563269803,2.33
1999-01-03,1418.2173564735328,2.27
1999-01-04,1647.6233084552337,2.35
1999-01-05,1609.3040889560057,2.34
1999-01-06,1676.3628926925921,2.36
1999-01-07,1752.059070799567,2.38
1999-01-08,1564.53082456777,2.32
1999-01-09,1505.0661408657938,2.3
1999-01-10,1328.721215069447,2.23
1999-01-11,1545.8989274126327,2.32
1999-01-12,1498.593568466491,2.3
2000-01-01,1567.5665105892758,2.32
